M,N,K,Triton,Torch
256.000000,256.000000,256.000000,1.765837,2.021780
384.000000,384.000000,384.000000,4.651082,3.133923
512.000000,512.000000,512.000000,5.020567,4.136688
640.000000,640.000000,640.000000,8.676136,4.835326
768.000000,768.000000,768.000000,8.610732,5.477661
896.000000,896.000000,896.000000,9.361683,6.104911
1024.000000,1024.000000,1024.000000,10.000233,6.828770
1152.000000,1152.000000,1152.000000,10.635843,7.391822
1280.000000,1280.000000,1280.000000,11.253475,7.709658
1408.000000,1408.000000,1408.000000,10.702013,7.361329
1536.000000,1536.000000,1536.000000,11.424035,7.866979
1664.000000,1664.000000,1664.000000,11.162630,7.445241
1792.000000,1792.000000,1792.000000,11.103932,7.442634
1920.000000,1920.000000,1920.000000,11.660712,7.743374
2048.000000,2048.000000,2048.000000,10.976474,7.258627
2176.000000,2176.000000,2176.000000,11.055220,7.239241
2304.000000,2304.000000,2304.000000,11.232773,7.432474
2432.000000,2432.000000,2432.000000,10.960429,7.318249
2560.000000,2560.000000,2560.000000,11.213756,7.297145
2688.000000,2688.000000,2688.000000,11.065513,7.590856
2816.000000,2816.000000,2816.000000,10.909738,7.590359
2944.000000,2944.000000,2944.000000,10.831959,7.062776
3072.000000,3072.000000,3072.000000,10.392735,7.082610
3200.000000,3200.000000,3200.000000,10.821920,7.092041
3328.000000,3328.000000,3328.000000,10.614912,6.901962
3456.000000,3456.000000,3456.000000,10.447137,6.992484
3584.000000,3584.000000,3584.000000,10.057252,7.034061
3712.000000,3712.000000,3712.000000,9.822389,7.535441
3840.000000,3840.000000,3840.000000,9.784113,7.625287
3968.000000,3968.000000,3968.000000,9.514974,7.154312
4096.000000,4096.000000,4096.000000,9.527216,7.111909
